No,Date,Time,Train filename,Test filename,Word embedding,Char embedding,Total unique word,Total unique char,Unique OOV,Padsize,Char padsize,Trainable,MergeGRU Char,MergeGRU Word,Dropout,Dropout GRU,Model,Merge Layer,Optimizer,Loss,Load wgt,Name wgt,Epoch,Batch,F-1 Macro,F-1 Micro,Save wgt,Saved name wgt
no,2018-05-12,23:39,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,2,0,rmsprop,categorical_crossentropy,n,,22,32,0.8276269895698851,0.8915622666556045,y,05-12_23:39_892
no,2018-05-13,01:04,id-ud-train.pos,id-ud-dev.pos,rang_fasttext.vec,rang_fasttext-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,2,0,rmsprop,categorical_crossentropy,n,,14,32,0.827315550174913,0.8942543040862893,y,05-13_01:04_894
no,2018-05-13,02:28,id-ud-train.pos,id-ud-dev.pos,rang_word2vec.vec,rang_word2vec-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,2,0,rmsprop,categorical_crossentropy,n,,14,32,0.8359145689495306,0.8980336845598608,y,05-13_02:28_898
no,2018-05-13,03:17,id-ud-train.pos,id-ud-dev.pos,wiki.id.vec,wiki.id-char.vec,311198,181,1018,188,25,True,concat,concat,0.5,0.0,2,0,rmsprop,categorical_crossentropy,n,,2,32,0.0,0.0,y,05-13_03:17_0
no,2018-05-13,05:07,id-ud-train.pos,id-ud-dev.pos,WE_w.vec,WE_w-char.vec,90844,181,1112,188,25,True,concat,concat,0.5,0.0,2,0,rmsprop,categorical_crossentropy,n,,10,32,0.8292096387356104,0.8923089687214801,y,05-13_05:07_892
no,2018-05-13,05:49,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,rmsprop,categorical_crossentropy,n,,11,32,0.8511913424197024,0.9138434208856745,y,05-13_05:49_914
no,2018-05-13,06:55,id-ud-train.pos,id-ud-dev.pos,rang_fasttext.vec,rang_fasttext-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,3,0,rmsprop,categorical_crossentropy,n,,9,32,0.8375747173910262,0.8773671150581168,y,05-13_06:55_877
no,2018-05-13,08:00,id-ud-train.pos,id-ud-dev.pos,rang_word2vec.vec,rang_word2vec-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,3,0,rmsprop,categorical_crossentropy,n,,9,32,0.8391750819699766,0.8778895128640459,y,05-13_08:00_878
no,2018-05-13,10:27,id-ud-train.pos,id-ud-dev.pos,wiki.id.vec,wiki.id-char.vec,311198,181,1018,188,25,True,concat,concat,0.5,0.0,3,0,rmsprop,categorical_crossentropy,n,,6,32,0.83581728674661,0.8794400243467675,y,05-13_10:27_879
no,2018-05-13,12:05,id-ud-train.pos,id-ud-dev.pos,WE_w.vec,WE_w-char.vec,90844,181,1112,188,25,True,concat,concat,0.5,0.0,3,0,rmsprop,categorical_crossentropy,n,,7,32,0.8317823081115576,0.8728447335108473,y,05-13_12:05_873
no,2018-05-15,08:22,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,1,rmsprop,categorical_crossentropy,n,,13,32,0.8509186847894407,0.9155352535634226,y,05-15_08:22_916
no,2018-05-15,09:16,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,2,rmsprop,categorical_crossentropy,n,,16,32,0.8551344032579697,0.9165503531700714,y,05-15_09:16_917
no,2018-05-15,10:21,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,3,rmsprop,categorical_crossentropy,n,,20,32,0.8494111978050577,0.9115594467707143,y,05-15_10:21_912
no,2018-05-15,10:59,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,4,rmsprop,categorical_crossentropy,n,,11,32,0.849951572602445,0.9142663790551113,y,05-15_10:59_914
no,2018-05-15,11:59,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,5,rmsprop,categorical_crossentropy,n,,18,32,0.8533141460549912,0.9144355623228863,y,05-15_11:59_914
no,2018-05-15,12:38,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,sum,0.5,0.0,3,6,rmsprop,categorical_crossentropy,n,,11,32,0.8507125990453247,0.9148585204923233,y,05-15_12:38_915
no,2018-05-15,13:23,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,1,rmsprop,categorical_crossentropy,n,,13,32,0.8528124745529064,0.9138434208856745,y,05-15_13:23_914
no,2018-05-15,14:04,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,2,rmsprop,categorical_crossentropy,n,,12,32,0.8517278457193385,0.9142663790551113,y,05-15_14:04_914
no,2018-05-15,14:48,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,3,rmsprop,categorical_crossentropy,n,,13,32,0.8453924892556862,0.9112210802351647,y,05-15_14:48_911
no,2018-05-15,15:39,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,4,rmsprop,categorical_crossentropy,n,,15,32,0.84866613352219,0.9138434208856745,y,05-15_15:39_914
