Epoch, F-1 Score,,,,
153,0.817541112,153,0.8304093567,153,0.8692247455
154,0.8143525741,154,0.826880935,154,0.8676585748
155,0.8153364632,155,0.8304093567,155,0.8692247455
156,0.8169014085,156,0.8283418554,156,0.8676585748
157,0.8144087706,157,0.8284457478,157,0.8676585748
158,0.8140625,158,0.8280907096,158,0.8692247455
159,0.8159749413,159,0.8283418554,159,0.8699059561
160,0.8131352619,160,0.8239590942,160,0.8674509804
161,0.8166144201,161,0.8259286235,161,0.8699059561
162,0.8119122257,162,0.8273852877,162,0.8721568627
163,0.813771518,163,0.8250728863,163,0.8714733542
164,0.8119122257,164,0.8253275109,164,0.8707909162
165,0.8150470219,165,0.8262773723,165,0.8692247455
166,0.813771518,166,0.8285922684,166,0.8685446009
167,0.8103448276,167,0.8282387191,167,0.8688138256
168,0.8112764291,168,0.8254200146,168,0.8674509804
169,0.8047058824,169,0.8301610542,169,0.8674509804
170,0.8094117647,170,0.8286969253,170,0.8672427337
171,0.8103448276,171,0.8233576642,171,0.868338558
172,0.8128425998,172,0.8306569343,172,0.8676585748
173,0.8097102584,173,0.8278388278,173,0.868338558
174,0.8090766823,174,0.8283418554,174,0.8638497653
175,0.8112764291,175,0.8266276518,175,0.8652037618
176,0.8112764291,176,0.8266276518,176,0.8652037618
177,0.8112764291,177,0.8289473684,177,0.868338558
178,0.8122065728,178,0.8266276518,178,0.8660924041
179,0.8106416275,179,0.8266276518,179,0.865625
180,0.8115715403,180,0.8262773723,180,0.8649492584
181,0.8122065728,181,0.8277372263,181,0.8667711599
182,0.8146989836,182,0.8254200146,182,0.8667711599
183,0.8146989836,183,0.8260233918,183,0.8667711599
184,0.8122065728,184,0.8216374269,184,0.8660924041
185,0.8112764291,185,0.8237015362,185,0.8654147105
186,0.8112764291,186,0.8237015362,186,0.8654147105
187,0.8122065728,187,0.8216374269,187,0.8669796557
188,0.8106416275,188,0.8266276518,188,0.8654147105
189,0.8122065728,189,0.825164594,189,0.8669796557
190,0.8112764291,190,0.825164594,190,0.8685446009
191,0.8128425998,191,0.8257686676,191,0.8669796557
192,0.8146989836,192,0.8266276518,192,0.8669796557
193,0.8115715403,193,0.8213762811,193,0.8673946958
194,0.813771518,194,0.8220588235,194,0.8678655199
195,0.8128425998,195,0.825256975,195,0.8663017983
196,0.813771518,196,0.8239590942,196,0.8669796557
197,0.8118657299,197,0.8233576642,197,0.8669796557
198,0.813771518,198,0.8248175182,198,0.8669796557
199,0.8144087706,199,0.8245614035,199,0.8654147105
200,0.8150470219,200,0.8283418554,200,0.8676585748
